House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
50,Protectoratearch Road,Ronald,Carter,18,Head,Married,Male,Student,None,NA
51,Protectoratearch Road,Andrea,Anderson,18,Head,Single,Female,Student,None,NA
7,Squirrel Plains,Diana,Herbert,18,Daughter,Single,Female,Student,None,Christian
1,Richardson Street,Amy,Johnson,18,Head,Single,Female,Student,None,NA
5,Richardson Street,Josh,Wade,18,Son,Single,Male,Student,None,None
6,Richardson Street,Leslie,Faulkner,18,Head,Single,Male,University Student,None,Christian
11,Richardson Street,Jane,James,18,Head,Single,Female,University Student,None,Catholic
34,Richardson Street,Garry,Davies,18,Son,Single,Male,Student,None,None
41,Richardson Street,Colin,Hughes,18,Son,Widowed,Male,Student,None,None
72,Richardson Street,Pauline,Clark,18,Daughter,Widowed,Female,Student,None,Christian
72,Richardson Street,Zoe,Clark,18,Daughter,Single,Female,Student,None,Christian
134,Richardson Street,Antony,Thomas,18,Son,Single,Male,Student,None,Catholic
1,Armagh Crescent,Alex,Evans,18,Son,Single,Male,Student,None,None
20,Armagh Crescent,Brian,Nolan,18,Grandson,Single,Male,Student,None,None
41,Armagh Crescent,Abdul,Parker,18,Head,Single,Male,Student,None,NA
2,Mitchell Loaf,Gordon,Gill,18,None,Single,Male,University Student,None,None
14,Mitchell Loaf,Josephine,Campbell,18,Daughter,Divorced,Female,Student,None,Christian
20,Mitchell Loaf,Alison,Pritchard,18,None,Single,Female,Student,None,NA
13,Tiger Point,Nicola,Berry,18,Head,Single,Female,Student,None,NA
26,Tiger Point,Jason,Walters,18,Lodger,Single,Male,Student,None,NA
29,Tiger Point,Maureen,Bell,18,Head,Single,Female,University Student,None,Christian
8,Mill Drive,Tracy,Allen,18,Daughter,Single,Female,Student,None,None
26,Mill Drive,Mohammad,Dixon,18,None,Single,Male,Student,None,NA
33,Mill Drive,Abdul,Hartley,18,Son,Divorced,Male,Student,None,None
10,Love Square,Dylan,Baker,18,None,Single,Male,Student,None,NA
1,Orchard Crescent,Albert,Sutton,18,Head,Married,Male,Student,None,NA
48,Orchard Crescent,Angela,Marshall,18,Head,Single,Female,Student,None,NA
51,Orchard Crescent,Peter,Robinson,18,Head,Single,Male,University Student,None,Christian
20,Taylor Wall,Laura,Shaw,18,Daughter,Single,Female,Student,None,None
11,Anvil Crescent,Callum,Martin,18,Step-Son,Single,Male,Student,None,None
39,Anvil Crescent,Samuel,Wallis,18,None,Single,Male,Student,None,NA
26,Coin Street,Frank,Sharp-Brooks,18,Son,Single,Male,Student,None,None
39,Coin Street,Norman,Webb,18,Son,Divorced,Male,Student,None,None
23,Green Squares,Kayleigh,Chan,18,Head,Single,Female,University Student,None,Christian
29,Green Squares,Aaron,Smith,18,Lodger,Single,Male,Student,None,NA
69,Green Squares,Joan,Marshall,18,Daughter,Single,Female,Student,None,None
139,Green Squares,Zoe,Gordon,18,Daughter,Divorced,Female,Student,None,Christian
152,Green Squares,Clifford,Ryan,18,Son,Single,Male,Student,None,Catholic
155,Green Squares,Carly,Dixon,18,Daughter,Single,Female,Student,None,None
180,Green Squares,George,Williamson,18,Son,Divorced,Male,Student,Mental Disability,None
186,Green Squares,Justin,Butler,18,Son,Single,Male,Student,None,None
194,Green Squares,Mary,Jones,18,Daughter,Single,Female,Student,None,Catholic
16,Martin Path,Leigh,Murray,18,Son,Single,Male,Student,None,None
1,Apricot Rapids,Alexander,Rowe,18,Head,Divorced,Male,Student,None,NA
21,Taurus Lodge,Stewart,Ford,18,Head,Single,Male,University Student,None,None
30,Taurus Lodge,Lauren,Law,18,Daughter,Divorced,Female,Student,None,None
1,Bletchley Lodge,Louis,Ward,18,Son,Single,Male,Student,None,None
7,Bletchley Lodge,Lynda,White-Ellis,18,Daughter,Single,Female,Student,None,None
15,London Avenue,Lydia,Cunningham,18,None,Single,Female,Student,None,NA
3,Egbert Key,Hannah,Rhodes,18,Daughter,Single,Female,Student,None,Christian
12,Egbert Key,Marilyn,Mitchell,18,Head,Single,Female,University Student,None,Christian
12,Egbert Key,Annette,Fletcher,18,None,Single,Female,University Student,None,None
12,Egbert Key,Elliott,Swift,18,None,Single,Male,University Student,None,Christian
12,Egbert Key,Naomi,Taylor,18,None,Single,Female,University Student,None,Christian
12,Egbert Key,Eric,Fraser,18,None,Single,Male,University Student,None,None
12,Egbert Key,Melissa,Anderson,18,None,Single,Female,University Student,None,None
7,CherryChestnut Street,Lynn,Harris,18,Daughter,Divorced,Female,Student,None,Christian
25,CherryChestnut Street,Lorraine,Blake,18,Daughter,Divorced,Female,Student,None,Christian
32,Brightonshot Lane,Jason,Watson,18,Head,Single,Male,Student,None,NA
44,Brightonshot Lane,Ross,Wilson,18,Head,Single,Male,Student,None,NA
47,Brightonshot Lane,Dawn,Andrews,18,Daughter,Single,Female,Student,None,Christian
9,Marsh Lights,Lorraine,Davis,18,Daughter,Single,Female,Student,None,Catholic
16,Marsh Lights,Melissa,Thornton,18,Daughter,Single,Female,Student,None,None
16,Marsh Lights,Neil,Thornton,18,Son,Divorced,Male,Student,None,Catholic
19,Marsh Lights,Liam,Wood,18,Son,Divorced,Male,Student,None,None
21,Marsh Lights,Ronald,Birch,18,Head,Married,Male,Student,None,NA
40,Smith Mountain,Sally,Lucas,18,Head,Married,Female,Student,None,NA
7,Arthur Street,Rosemary,Bray,18,Head,Married,Female,Student,None,NA
29,Arthur Street,Carol,Kent,18,Lodger,Single,Female,Student,None,NA
34,Arthur Street,Dennis,Bond,18,None,Single,Male,Student,None,NA
22,Kelly Dale,Bruce,Lloyd,18,Son,Single,Male,Student,None,Christian
12,Singh Plaza,Julia,Bell,18,Daughter,Single,Female,Student,None,None
1,Horse Village,Brian,Miller,18,None,Single,Male,University Student,None,Christian
1,Cook Plaza,Ann,Marsh,18,Daughter,Divorced,Female,Student,None,Catholic
10,Cook Plaza,Kerry,Alexander,18,Lodger,Single,Female,Student,None,NA
27,Cook Plaza,Tony,Holland,18,Son,Single,Male,Student,None,None
27,Cook Plaza,Dennis,Holland,18,Son,Single,Male,Student,None,None
27,Cook Plaza,Francesca,Holland,18,Daughter,Single,Female,Student,None,None
49,Cook Plaza,Jason,Greenwood,18,Son,Single,Male,Student,None,Catholic
54,Cook Plaza,Joanne,Green,18,Daughter,Single,Female,Student,None,None
54,Cook Plaza,Ashley,Green,18,Son,Single,Male,Student,None,None
74,Cook Plaza,Margaret,Young,18,Daughter,Single,Female,Student,None,None
80,Cook Plaza,Bryan,Edwards,18,None,Single,Male,Student,None,NA
94,Cook Plaza,Katherine,Smith,18,Granddaughter,Single,Female,Student,None,Methodist
107,Cook Plaza,Amy,Smith,18,Daughter,Single,Female,Student,None,None
118,Cook Plaza,Beth,Leonard-Russell,18,Daughter,Single,Female,Student,None,Methodist
134,Cook Plaza,Jack,Kent,18,None,Single,Male,University Student,None,None
134,Cook Plaza,Yvonne,Wilson,18,None,Single,Female,University Student,None,Christian
135,Cook Plaza,Lydia,Coles,18,Head,Single,Female,Student,None,NA
139,Cook Plaza,Leon,White,18,Son,Single,Male,Student,None,Christian
154,Cook Plaza,Leonard,McDonald,18,Son,Single,Male,Student,None,None
160,Cook Plaza,Valerie,Roberts,18,None,Single,Female,University Student,None,None
11,Horseshoe Drive,David,Kennedy,18,Head,Single,Male,Student,None,NA
3,Ahmed Drive,Mohammad,Harper,18,Head,Single,Male,Student,None,NA
23,Bank Street,Simon,Thompson,18,None,Single,Male,Student,None,NA
2,Poundsalt Crescent,Sophie,Booth,18,Head,Single,Female,Student,None,NA
12,Ford Oval,Ashleigh,Bibi,18,None,Single,Female,University Student,None,Methodist
41,Bath Drive,Thomas,Macdonald,18,Grandson,Single,Male,Student,None,Christian
17,Daniels Green,Owen,Newton,18,None,Single,Male,Student,None,NA
31,Daniels Green,Lydia,Owen,18,None,Single,Female,Student,None,NA
24,Thistle Court,Sarah,James,18,Head,Single,Female,University Student,None,None
9,Bailey Glen,Danny,Payne,18,None,Single,Male,University Student,None,Christian
17,Bailey Glen,Lee,Macdonald,18,Head,Married,Male,Student,None,NA
22,Bailey Glen,Lynda,Ryan,18,Daughter,Single,Female,Student,None,None
31,Bailey Glen,Kathleen,Fitzgerald,18,None,Single,Female,University Student,None,None
1,Severn Plain,Peter,Woods,18,Head,Single,Male,Student,None,NA
5,Severn Plain,Samuel,Kemp,18,None,Single,Male,Student,None,NA
9,King Walks,Declan,Riley,18,None,Single,Male,University Student,None,Christian
12,King Walks,Olivia,Mason,18,Daughter,Single,Female,Student,None,Christian
9,Willis Avenue,Ben,Wilson,18,Lodger,Widowed,Male,Student,None,NA
15,Willis Avenue,Peter,Stone,18,Son,Widowed,Male,Student,None,None
36,Willis Avenue,Brian,Evans,18,Son,Divorced,Male,Student,None,None
68,Willis Avenue,Hugh,King,18,Lodger,Single,Male,Student,None,NA
82,Willis Avenue,Bruce,Harrison,18,None,Single,Male,University Student,None,Sikh
82,Willis Avenue,Kelly,Williams,18,None,Single,Female,University Student,None,None
135,Willis Avenue,Janet,Robertson,18,None,Single,Female,University Student,None,Christian
141,Willis Avenue,Dawn,Robinson,18,Daughter,Divorced,Female,Student,None,Catholic
177,Willis Avenue,Kyle,Thomas,18,Son,Single,Male,Student,None,Catholic
186,Willis Avenue,Gail,Thomas,18,Head,Single,Female,Student,None,NA
212,Willis Avenue,Eric,White,18,Head,Single,Male,Student,None,NA
224,Willis Avenue,Paul,Anderson,18,None,Single,Male,University Student,None,Catholic
7,Taurus Garden,Guy,Whittaker,18,Son,Divorced,Male,Student,None,None
17,Taurus Garden,Kimberley,Howard,18,Daughter,Single,Female,Student,None,None
38,Taurus Garden,Jake,Ross,18,Son,Single,Male,Student,None,Catholic
41,Taurus Garden,Heather,Turner,18,None,Single,Female,Student,None,NA
9,Eastdeal Lane,Guy,Heath,18,None,Single,Male,University Student,None,None
116,Iqbal Shoals,Dale,Harvey,18,None,Single,Male,Student,None,NA
2,Allen Forks,Russell,Robinson,18,Son,Single,Male,Student,None,None
5,Allen Forks,Robert,Morris,18,None,Single,Male,University Student,None,None
6,Allen Forks,Sandra,Evans,18,Daughter,Single,Female,Student,None,Christian
9,Hunters Parkway,Amy,Scott,18,Head,Married,Female,Student,None,NA
25,Hunters Parkway,Duncan,Campbell,18,Son,Single,Male,Student,None,None
25,Hunters Parkway,Darren,Campbell,18,Son,Single,Male,Student,None,None
42,Hunters Parkway,Craig,Hyde-Moore-Harding,18,Grandson,Single,Male,Student,None,None
42,Hunters Parkway,Fiona,Taylor,18,Granddaughter,Single,Female,Student,None,None
26,Bank Burg,Eleanor,Richardson,18,None,Single,Female,Student,None,NA
43,Bank Burg,Abigail,Hayes,18,Granddaughter,Single,Female,Student,None,None
3,Peel Spring,Lindsey,Wong,18,Head,Single,Female,Student,None,NA
12,Reynolds Highway,Marian,Nolan,18,Head,Single,Female,Student,None,NA
3,Rhubarb Drive,Scott,Greenwood,19,Son,Single,Male,University Student,None,None
19,Rhubarb Drive,Albert,Newman,19,Son,Single,Male,University Student,None,Catholic
21,Rhubarb Drive,Martin,Wilson,19,Adopted Grandson,Divorced,Male,University Student,None,Christian
23,Rhubarb Drive,Leonard,Turner-Robertson,19,Son,Single,Male,University Student,None,None
34,Rhubarb Drive,Joan,Moore,19,Daughter,Single,Female,University Student,None,None
40,Rhubarb Drive,Lindsey,Burgess,19,Sibling,Single,Female,University Student,None,None
28,Moran Mission,Sara,Morton,19,None,Single,Female,University Student,None,None
13,Wallis Rapids,Matthew,Porter,19,Son,Single,Male,University Student,None,Catholic
24,Wallis Rapids,Nathan,Porter,19,Sibling,Single,Male,University Student,None,Catholic
28,Wallis Rapids,Joe,Richardson,19,Son,Single,Male,University Student,None,Christian
38,Wallis Rapids,Mathew,Stevenson,19,Son,Single,Male,University Student,None,Catholic
46,Wallis Rapids,Elaine,Berry-Frost,19,Daughter,Single,Female,University Student,None,None
51,Wallis Rapids,Deborah,Watkins,19,Lodger,Divorced,Female,Charity fundraiser,None,None
57,Wallis Rapids,Colin,Lewis,19,Grandson,Single,Male,University Student,None,Christian
64,Wallis Rapids,Patrick,Lewis,19,Head,Single,Male,University Student,None,Christian
82,Wallis Rapids,Marcus,Bailey,19,Son,Widowed,Male,University Student,None,None
82,Wallis Rapids,Harry,Bailey,19,Son,Single,Male,University Student,None,None
21,Testamentrigg Road,Iain,Wilson,19,Head,Single,Male,University Student,None,None
22,Testamentrigg Road,Jayne,Hill,19,Head,Single,Female,University Student,None,None
24,Pisces Road,Marc,Taylor,19,Son,Single,Male,University Student,None,None
30,Pisces Road,Stuart,Day,19,Head,Single,Male,Public relations officer,None,None
41,Pisces Road,Stephen,Phillips,19,Head,Single,Male,University Student,None,None
41,Pisces Road,Sylvia,Kemp,19,None,Single,Female,University Student,None,Catholic
42,Pisces Road,Deborah,Lambert,19,Daughter,Single,Female,University Student,None,None
49,Pisces Road,Lynda,Bates,19,Daughter,Single,Female,University Student,None,Christian
1,Willis Springs,Tracy,Hughes,19,Cousin,Single,Female,University Student,None,None
1,Willis Springs,Kathryn,Wilkinson,19,Lodger,Single,Female,University Student,None,Christian
15,Inner Street,Jayne,Simpson,19,None,Single,Female,University Student,None,Catholic
20,Inner Street,Vincent,Reeves,19,Head,Single,Male,University Student,None,Catholic
50,Protectoratearch Road,Leanne,Carter,19,Wife,Married,Female,University Student,None,None
51,Protectoratearch Road,Denis,Edwards,19,Partner,Single,Male,University Student,None,None
57,Protectoratearch Road,Victoria,Brown,19,Head,Single,Female,University Student,None,Muslim
57,Protectoratearch Road,Denis,Gilbert,19,Partner,Single,Male,University Student,None,Muslim
7,Squirrel Plains,Sarah,Herbert,19,Daughter,Single,Female,University Student,None,None
11,Richardson Street,Bethan,Taylor,19,None,Single,Female,University Student,None,Christian
11,Richardson Street,Adrian,Adams,19,None,Single,Male,University Student,None,Christian
37,Richardson Street,Alexander,Roberts,19,Head,Single,Male,University Student,None,None
50,Richardson Street,Kieran,Bishop,19,Head,Married,Male,University Student,None,None
50,Richardson Street,Margaret,Bishop,19,Wife,Married,Female,University Student,None,None
52,Richardson Street,Sheila,Singh-Marshall,19,Daughter,Divorced,Female,University Student,None,None
57,Richardson Street,Judith,Potts,19,Daughter,Single,Female,University Student,None,None
87,Richardson Street,Tracey,Byrne,19,Head,Single,Female,University Student,None,None
99,Richardson Street,Paige,Young,19,Lodger,Divorced,Female,Unemployed,None,None
12,Armagh Crescent,Tina,Pugh,19,Head,Single,Female,University Student,None,Methodist
24,Armagh Crescent,Jeremy,Pollard,19,Son,Divorced,Male,University Student,None,None
29,Armagh Crescent,Jack,Carr,19,Husband,Married,Male,University Student,None,NA
34,Armagh Crescent,Jean,O'Sullivan,19,Daughter,Single,Female,University Student,None,None
50,Armagh Crescent,Vincent,Taylor,19,Head,Married,Male,University Student,None,None
50,Armagh Crescent,Jasmine,Taylor,19,Wife,Married,Female,University Student,None,None
54,Armagh Crescent,Gemma,King,19,Head,Single,Female,University Student,None,None
8,Tiger Point,Wayne,Thomas,19,Head,Single,Male,University Student,Mental Disability,Methodist
20,Mill Drive,Amy,Douglas,19,Daughter,Single,Female,University Student,None,Christian
9,Love Square,Edward,Johnson,19,Head,Single,Male,Contracting civil engineer,None,None
6,Chelmsfordshot Street,Amelia,King,19,None,Single,Female,University Student,None,Christian
1,Orchard Crescent,Linda,Sutton,19,Wife,Married,Female,University Student,None,NA
41,Orchard Crescent,Marc,Bray,19,Son,Single,Male,Arboriculturist,None,Catholic
44,Orchard Crescent,Lynne,Lowe,19,Wife,Married,Female,University Student,None,None
46,Orchard Crescent,Dale,Allen,19,Head,Single,Male,University Student,None,Catholic
48,Orchard Crescent,Christopher,Phillips,19,Partner,Single,Male,University Student,None,None
50,Orchard Crescent,Melissa,Coates,19,Daughter,Divorced,Female,University Student,None,None
2,Taylor Wall,Shane,Bryant,19,Adopted Son,Divorced,Male,University Student,None,Catholic
17,Taylor Wall,Graeme,Richardson,19,Son,Single,Male,University Student,None,None
4,Green Squares,Alison,Finch,19,None,Single,Female,University Student,None,Christian
4,Green Squares,Amanda,Gardiner,19,None,Single,Female,University Student,None,None
73,Green Squares,Alexander,Hussain,19,None,Single,Male,University Student,None,Catholic
90,Green Squares,Hayley,Shah,19,Daughter,Divorced,Female,University Student,None,Catholic
132,Green Squares,Nicholas,Page,19,Adopted Son,Widowed,Male,Unemployed,None,Catholic
180,Green Squares,Geoffrey,Williamson,19,Son,Divorced,Male,University Student,None,None
14,Martin Path,Natalie,Griffin,19,None,Single,Female,University Student,None,None
21,Taurus Lodge,Roger,Grant,19,None,Single,Male,University Student,None,Christian
2,Bletchley Lodge,Gemma,Cox,19,Daughter,Divorced,Female,University Student,None,Catholic
6,Taylor Islands,Lesley,Davies,19,Partner,Single,Female,University Student,None,None
19,Taylor Islands,Amanda,Cunningham,19,Daughter,Single,Female,University Student,None,None
24,London Avenue,Danny,Page,19,Husband,Married,Male,University Student,None,None
4,Egbert Key,Clifford,Riley,19,Son,Single,Male,University Student,None,Christian
8,Egbert Key,Mohamed,Quinn,19,Son,Single,Male,University Student,None,Christian
12,Egbert Key,Tom,Leach,19,None,Single,Male,University Student,None,None
7,CherryChestnut Street,Joyce,Harris,19,Daughter,Divorced,Female,University Student,None,None
25,CherryChestnut Street,Heather,Blake,19,Daughter,Divorced,Female,University Student,None,Christian
37,CherryChestnut Street,Lynne,Nash,19,Head,Single,Female,University Student,None,Methodist
43,CherryChestnut Street,Ben,Martin,19,None,Single,Male,University Student,None,None
46,CherryChestnut Street,Colin,Hill,19,None,Single,Male,University Student,None,Christian
48,CherryChestnut Street,Naomi,Mason,19,None,Single,Female,University Student,None,Catholic
11,Perth Lane,Owen,Taylor,19,Husband,Married,Male,University Student,None,Christian
26,Perth Lane,Melanie,Lawson,19,Head,Divorced,Female,University Student,None,Methodist
10,Marsh Lights,Janet,Woodward,19,Sibling,Single,Female,University Student,None,Catholic
5,Silver Road,Wayne,Burrows,19,Lodger,Single,Male,University Student,None,Christian
1,Dale Glens,Donna,Young,19,Wife,Married,Female,Futures trader,None,Christian
40,Smith Mountain,Alex,Lucas,19,Husband,Married,Male,University Student,None,None
6,Arthur Street,Deborah,Morgan,19,Partner,Single,Female,University Student,None,Catholic
9,Arthur Street,Marie,Murphy,19,Head,Married,Female,University Student,None,None
11,Arthur Street,Jake,Porter,19,None,Single,Male,University Student,None,Christian
13,Kelly Dale,Rosie,Horton,19,Daughter,Divorced,Female,University Student,None,Christian
20,Singh Plaza,Ashley,Henderson,19,Head,Single,Male,University Student,None,Christian
20,Singh Plaza,Barbara,Jones,19,None,Single,Female,University Student,None,Christian
32,Singh Plaza,James,Evans,19,Son,Single,Male,University Student,None,None
1,Horse Village,Jessica,Stevens,19,None,Single,Female,University Student,None,None
2,Cook Plaza,Eric,Williams,19,Husband,Married,Male,University Student,None,NA
8,Cook Plaza,Joseph,Robinson,19,Head,Married,Male,University Student,None,Methodist
8,Cook Plaza,Elizabeth,Robinson,19,Wife,Married,Female,University Student,None,Methodist
25,Cook Plaza,Rita,O'Brien,19,Head,Married,Female,University Student,None,None
60,Cook Plaza,Damian,Hardy,19,Head,Married,Male,University Student,None,None
60,Cook Plaza,Elaine,Hardy,19,Wife,Married,Female,University Student,None,None
61,Cook Plaza,Elliott,Begum,19,Son,Single,Male,University Student,None,Christian
65,Cook Plaza,June,Clark,19,Granddaughter,Divorced,Female,University Student,None,None
79,Cook Plaza,Jade,Jackson,19,Daughter,Divorced,Female,University Student,None,None
80,Cook Plaza,Jacob,Gregory,19,None,Single,Male,University Student,None,None
91,Cook Plaza,Scott,Wood-Winter,19,Son,Divorced,Male,University Student,None,None
98,Cook Plaza,Vincent,Stephens,19,Son,Single,Male,University Student,None,None
100,Cook Plaza,Nigel,Clarke,19,Son,Divorced,Male,Land/geomatics surveyor,None,None
111,Cook Plaza,Geoffrey,Cooper,19,Son,Single,Male,University Student,None,None
125,Cook Plaza,Emily,Hammond,19,None,Single,Female,University Student,None,Christian
126,Cook Plaza,Colin,Marsh,19,None,Single,Male,University Student,None,None
126,Cook Plaza,Alex,Miller,19,None,Single,Male,University Student,None,Christian
151,Cook Plaza,Gail,Hammond,19,None,Single,Female,University Student,None,None
160,Cook Plaza,Kim,Jones,19,Head,Single,Female,University Student,None,Christian
168,Cook Plaza,Claire,Campbell-Lynch,19,Granddaughter,Single,Female,University Student,None,Christian
1,Metcalfe Forks,Joseph,Curtis,19,Son,Single,Male,University Student,None,None
1,Horseshoe Drive,Glen,Cole,19,Head,Single,Male,University Student,None,Christian
12,Appletree Heights,Jason,Taylor,19,Son,Single,Male,University Student,None,None
22,Bank Street,Teresa,Jackson,19,Daughter,Single,Female,University Student,None,None
36,Bank Street,Jane,Walton,19,Wife,Married,Female,University Student,None,None
48,Bank Street,June,Cooper,19,None,Single,Female,University Student,None,None
15,Ford Oval,Jane,Austin,19,Head,Divorced,Female,University Student,None,None
3,Bath Drive,Timothy,Cooper,19,Son,Single,Male,University Student,None,None
17,Bath Drive,Ashleigh,Matthews,19,Visitor,Single,Female,University Student,None,None
20,Bath Drive,Harriet,Rogers,19,Daughter,Divorced,Female,"Research officer, trade union",None,Catholic
33,Bath Drive,Andrew,Bennett,19,Son,Single,Male,University Student,None,Christian
19,Duffy Hollow,Peter,Smith,19,Head,Single,Male,University Student,None,None
19,Duffy Hollow,Victoria,Owen,19,None,Single,Female,University Student,None,Christian
24,Thistle Court,Patrick,Harris,19,None,Single,Male,University Student,None,None
16,Bailey Glen,Luke,Watts,19,Son,Single,Male,University Student,None,Christian
16,Bailey Glen,Valerie,Watts,19,Daughter,Single,Female,Bonds trader,None,Christian
17,Bailey Glen,Geraldine,Macdonald,19,Wife,Married,Female,University Student,None,None
1,Severn Plain,Carol,Hunter,19,Partner,Single,Female,University Student,None,None
3,Taurus Drive,Gillian,Godfrey,19,Daughter,Single,Female,University Student,None,None
9,Taurus Drive,Dale,Lewis,19,Grandson,Single,Male,University Student,None,Christian
8,Conifer Drive,Oliver,Morgan,19,Son,Single,Male,University Student,None,None
5,King Walks,Valerie,Phillips,19,Partner,Single,Female,University Student,None,None
9,St.Luke Locks,Jake,Johnson,19,Son,Single,Male,University Student,None,Christian
73,Willis Avenue,Rebecca,Naylor,19,None,Single,Female,Sport and exercise psychologist,None,Catholic
122,Willis Avenue,Bradley,Morgan,19,Head,Married,Male,University Student,None,None
122,Willis Avenue,Kimberley,Morgan,19,Wife,Married,Female,University Student,None,None
199,Willis Avenue,Vincent,Cunningham,19,None,Single,Male,University Student,None,None
1,Woods Courts,Gail,Mills,19,Daughter,Divorced,Female,University Student,None,Sikh
15,Woods Courts,Rosie,Thomson,19,Lodger,Single,Female,University Student,None,Christian
7,Roberts Drives,Katy,Parry,19,Head,Single,Female,University Student,None,None
1,Taurus Garden,Justin,Roberts,19,Head,Married,Male,University Student,None,None
1,Taurus Garden,Chelsea,Roberts,19,Wife,Married,Female,University Student,None,None
16,Taurus Garden,Sam,Hughes,19,Head,Divorced,Male,University Student,None,Methodist
28,Taurus Garden,Luke,Hussain,19,Husband,Married,Male,University Student,None,None
40,Taurus Garden,Lindsey,Heath,19,Partner,Single,Female,University Student,None,None
11,Eastdeal Lane,Melanie,Higgins,19,Head,Single,Female,Clinical embryologist,None,None
32,Iqbal Shoals,Colin,Hill,19,Head,Divorced,Male,University Student,None,None
40,Iqbal Shoals,Neil,Green,19,Head,Married,Male,University Student,None,None
99,Iqbal Shoals,Scott,Daly,19,Head,Single,Male,University Student,None,Christian
113,Iqbal Shoals,Laura,Foster,19,None,Single,Female,University Student,None,Christian
115,Iqbal Shoals,Nicole,Steele,19,Daughter,Divorced,Female,University Student,None,Catholic
4,Hunters Parkway,Jayne,Wood,19,Daughter,Single,Female,University Student,None,None
32,Hunters Parkway,Ryan,Boyle,19,Head,Single,Male,University Student,None,Catholic
43,Hunters Parkway,Katie,Wilson,19,Head,Single,Female,University Student,None,None
30,Bank Burg,Lauren,Davidson,19,Visitor,Divorced,Female,University Student,None,Housekeeper
41,Bank Burg,Douglas,Herbert,19,Head,Single,Male,University Student,None,None
9,Reynolds Highway,Kate,White,19,None,Single,Female,University Student,None,Christian
8,ExcaliburBells Dam,Donna,Hanson-Sinclair,19,Daughter,Single,Female,Product manager,None,Christian
1,Smith Barn,Mandy,Smith-Ball,19,Daughter,Single,Female,University Student,None,None
1,Beech Villa,Adrian,Powell,19,Lodger,Single,Male,University Student,None,Sikh
9,Rhubarb Drive,Jemma,Knight,20,Lodger,Single,Female,University Student,None,None
16,Rhubarb Drive,Fiona,Hancock,20,Daughter,Divorced,Female,University Student,None,Methodist
22,Rhubarb Drive,Callum,Watson,20,Son,Single,Male,University Student,None,None
1,Wallis Rapids,Nicholas,West,20,Son,Single,Male,University Student,None,None
17,Wallis Rapids,Catherine,Jones,20,Daughter,Single,Female,University Student,None,None
25,Wallis Rapids,Duncan,King,20,Son,Divorced,Male,University Student,None,None
29,Wallis Rapids,Natasha,Davies,20,Daughter,Single,Female,University Student,None,Christian
38,Wallis Rapids,Mohammed,White,20,Lodger,Single,Male,University Student,None,None
45,Wallis Rapids,Sophie,Bowen,20,Lodger,Widowed,Female,University Student,None,None
46,Wallis Rapids,Matthew,Frost,20,Son,Single,Male,University Student,None,None
55,Wallis Rapids,Toby,Roberts,20,Son,Single,Male,University Student,None,Sikh
61,Wallis Rapids,Rachel,Kirk,20,Daughter,Single,Female,Pension scheme manager,None,None
61,Wallis Rapids,Charlie,Kirk,20,Son,Single,Male,University Student,None,None
63,Wallis Rapids,Callum,Miller,20,Son,Single,Male,University Student,None,None
63,Wallis Rapids,Harry,Miller,20,Son,Single,Male,University Student,None,None
68,Wallis Rapids,Eileen,West,20,Daughter,Single,Female,University Student,None,None
78,Wallis Rapids,Keith,Lee,20,Son,Single,Male,Land,None,Catholic
2,West Lane,Gerard,Dunn,20,Lodger,Single,Male,University Student,None,None
3,West Lane,Tom,Patterson,20,Son,Single,Male,University Student,None,None
21,Testamentrigg Road,Lesley,Nelson,20,None,Single,Female,University Student,None,None
22,Testamentrigg Road,Carolyn,Ahmed,20,None,Single,Female,University Student,None,Catholic
2,Pisces Road,Lydia,Moore,20,Wife,Married,Female,University Student,None,None
32,Pisces Road,Aimee,Ellis,20,Head,Single,Female,University Student,None,None
41,Pisces Road,Albert,Walters,20,None,Single,Male,University Student,None,None
5,Winterbarrier Street,Geraldine,Smith,20,Daughter,Single,Female,University Student,None,Christian
2,Willis Springs,June,Hughes,20,Lodger,Divorced,Female,University Student,None,Catholic
5,Willis Springs,Thomas,Powell,20,None,Single,Male,University Student,None,Christian
5,Willis Springs,Christopher,Webb,20,None,Single,Male,University Student,None,Methodist
26,Inner Street,Shannon,Davidson,20,Head,Single,Female,University Student,None,Methodist
40,Protectoratearch Road,Katie,Dale,20,Daughter,Single,Female,University Student,None,None
4,Squirrel Plains,Benjamin,White,20,Son,Single,Male,University Student,None,None
69,Richardson Street,Charlene,Smith,20,Daughter,Single,Female,University Student,None,None
73,Richardson Street,Rachael,Gallagher,20,Daughter,Single,Female,Curator,None,None
111,Richardson Street,Ian,Richards,20,Head,Single,Male,University Student,None,None
132,Richardson Street,Adrian,Graham,20,Head,Single,Male,University Student,None,Methodist
136,Richardson Street,Douglas,Green,20,None,Single,Male,University Student,None,None
47,Cancer Lane,Katherine,Reynolds,20,Head,Married,Female,University Student,None,Catholic
54,Armagh Crescent,Ricky,Williamson,20,None,Single,Male,University Student,None,Methodist
59,Armagh Crescent,Debra,White,20,Daughter,Divorced,Female,University Student,None,Christian
11,Mitchell Loaf,Simon,Carr,20,Head,Single,Male,University Student,None,Methodist
24,Tiger Point,Emily,Chambers,20,Wife,Married,Female,University Student,None,None
